ID,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,ZIP
b418e5db-170b-47ad-acd6-21c54093110a,1980-02-02,,999-24-2646,S99976270,X17040649X,Mr.,Ernie189,Johns824,,,M,white,italian,M,Carmel,760 Abernathy Landing Apt 45,Buffalo,New York,14201
5bae163b-da96-4374-b4b9-4e7482b4e5a4,1979-05-21,,999-50-8037,S99943898,X3427821X,Ms.,Mariann762,Greenfelder433,,,S,hispanic,puerto_rican,F,Henrietta,450 Douglas Estate Suite 63,Lloyd,New York,
2b0c0cab-cbcb-4949-8301-8f4d4da118c6,1991-10-16,,999-94-7488,S99988994,X59929435X,Mr.,Kristopher775,Bogan287,,,M,black,west_indian,M,New York,1060 Emard Overpass Unit 75,Rome,New York,13308
aa6587ee-296a-4c13-a3d3-94adbe9eb456,1969-01-08,,999-83-1373,S99945900,X434598X,Mrs.,Theda286,Hagenes547,,Murphy561,M,white,irish,F,Riverhead,141 Rutherford Ranch Suite 50,New York,New York,10001
8dfd8608-1005-4172-92ae-c20a54587d0c,1982-06-16,,999-75-8159,S99963834,X5095739X,Mrs.,Mikaela760,Wehner319,,Hirthe744,M,white,scottish,F,Woodbury,828 Boehm Crossing,Riverhead,New York,11901
8347f1ed-3bf0-4df8-abb5-04f3b67bfdb8,2006-01-01,,999-79-3588,,,,Jeraldine574,Bruen238,,,,white,irish,F,Highland Falls,503 Heller Camp,Spring Valley,New York,10952
ad87219e-9db7-4da8-bb9a-615056023c34,2011-06-16,,999-64-8143,,,,Ezekiel373,Lockman863,,,,white,german,M,New York,972 Schroeder Neck,Hoosick Falls,New York,12090
cde41e09-c302-44f9-895a-2396177dbbeb,1991-04-19,2016-07-20,999-51-4078,S99910245,X14089700X,Ms.,Deidra675,Jacobs452,,,,hispanic,south_american,F,Big Flats,882 Barton Lock,Pleasant Valley,New York,12569
f23d5f3a-f62e-4dd6-a406-2dcb11bb9850,1997-02-10,,999-25-9714,S99918626,X29491258X,Mr.,Ellis535,Koepp521,,,,white,american,M,Newburgh,1094 Langosh Gateway,Farmington,New York,14425
77ac707b-99b6-4a89-af24-dad38ea7ecc2,2000-07-21,,999-64-6850,S99966141,,Mr.,Barton704,Carroll471,,,,white,english,M,Deerpark,708 Quigley Loaf,New Square,New York,10956
658428d6-aded-44e3-a5f6-9d77ae2eaf9c,2010-04-14,,999-60-2617,,,,Cindy893,Wyman904,,,,white,irish,F,Albany,447 Klocko Viaduct Unit 73,Scarsdale,New York,10583
45758b70-2c40-4771-a4ae-ba168d3853c0,1973-11-04,,999-32-2704,S99949862,X34585871X,Mr.,Davis923,Dach178,,,S,asian,chinese,M,Lloyd,761 Renner Viaduct,Hopewell,New York,
20fd2179-375b-426b-80af-12f6c3bf7f61,1989-04-11,,999-71-5183,S99962187,X18420419X,Mr.,Arden380,Nader710,,,M,hispanic,puerto_rican,M,Valley Stream,1063 Anderson Junction,New Windsor,New York,12553
7daf3413-8ddc-4064-abd7-bab064898409,1972-01-28,,999-53-7539,S99943382,X41614881X,Ms.,Colene948,Baumbach677,,,S,white,french,F,Catskill,395 Durgan Ferry Suite 96,Niskayuna,New York,12308
af37e32b-76bb-467e-952d-cbe72e288e22,1991-04-19,,999-28-6007,S99969805,X30968674X,Mrs.,Donette997,Green467,,Sipes176,M,hispanic,south_american,F,Yonkers,396 Dietrich Orchard Apt 59,Pleasant Valley,New York,12569
ac9081cc-cb53-4573-950d-de1f4176c495,2001-07-23,,999-64-8473,S99910360,,,Boyd728,Swift555,,,,hispanic,puerto_rican,M,Franklinville,378 Shanahan Arcade,Yonkers,New York,10583
e21ef7aa-59db-4fe7-b9a7-08d737e62f49,1994-01-07,,999-35-7993,S99935557,X45243587X,Mr.,Blair400,Hartmann983,,,,white,italian,M,Potsdam,211 Ziemann Stravenue Apt 97,Syracuse,New York,13120
f2062bf3-3e86-4c32-bc4f-658e13367c4f,1969-05-26,,999-71-7380,S99944208,X9147005X,Mrs.,Devora529,Feil794,,Hauck852,M,white,irish,F,Clifton Park,161 Wehner Wall,Pelham Manor,New York,10803
ee7c7a4a-bc02-4757-a691-481fa100916d,1992-07-15,,999-31-7764,S99992700,X40321231X,Mr.,Alexis664,Kuhic920,,,,white,irish,M,Kiryas Joel,989 Medhurst Ferry,Dolgeville,New York,13329
cfda99e5-4cf8-44ff-a1ee-a66aa1a13b59,2012-08-31,,999-51-2878,,,,Willie882,Weber641,,,,white,german,M,Olean,122 Sipes Arcade,Brighton,New York,14609
37362652-1e8f-4e55-96f6-e4a7ab331a36,1967-09-01,,999-26-6862,S99917147,X2450019X,Mrs.,Kindra525,Shanahan202,,Corwin846,M,white,irish,F,Ellenburg,1047 Berge Underpass,Rosendale,New York,12472
ff362df6-1f29-4e3d-8fca-94b23d1af077,1968-12-18,,999-60-5773,S99938618,X25541075X,Mr.,Manuel446,Carter549,,,M,white,french,M,Penfield,487 Wyman Extension,Chestnut Ridge,New York,10952
1763f964-35d9-4581-8818-ebabc5c68216,1954-06-27,,999-10-3717,S99962680,X37963962X,Mr.,Pete38,Ondricka197,,,M,black,african,M,Halfmoon,277 Rath Row Suite 56,Irondequoit,New York,14609
4d387619-59a7-4c78-8e55-e9da34186fce,1986-12-16,,999-17-3710,S99928241,X5245740X,Ms.,Asuncion264,Waters156,,,S,white,scottish,F,Plattekill,496 Hahn Wall Unit 7,Irondequoit,New York,14609
ab4f19b5-ad77-4923-8e50-02cf035208bb,1995-05-22,,999-79-2964,S99978220,X28894228X,Ms.,Sharolyn456,Heidenreich818,,,,white,english,F,Port Jefferson,395 Waelchi Manor Apt 38,Palatine Bridge,New York,13317
29416702-3874-4239-aed7-555ef0ced4cb,1947-01-06,,999-27-5505,S99974423,X21090376X,Mrs.,Donita707,Anderson154,,Corkery305,M,hispanic,central_american,F,Yonkers,832 McDermott Orchard,Harrison,New York,10528
659def8c-efb8-4e4b-b6d2-1bba5658f04b,1982-03-10,,999-29-4750,S99989664,X33127712X,Mr.,Vance413,Mante251,,,S,black,african,M,Colonie,878 Barton Mill,Buffalo,New York,14201
0239b013-f356-41a4-8e0d-5b4891e7b145,2012-10-27,,999-49-2273,,,,Gale827,Balistreri607,,,,white,italian,M,Syracuse,813 Monahan Landing,Shandaken,New York,12480
b28081f0-9b2c-4641-896d-c932fa9efe03,1959-07-05,,999-96-4756,S99994949,X42519106X,Mrs.,Esperanza675,Sanabria449,,Romo23,M,hispanic,mexican,F,White Plains,101 Grady Divide Unit 17,St. Johnsville,New York,13452
0b8703f0-30de-4950-820b-cdf891a0cb57,1945-10-07,,999-74-5137,S99923542,X62697845X,Mrs.,Michiko564,Stracke611,,Harber290,M,asian,chinese,F,Fishkill,716 Brown Rue,New York,New York,10001
044a4491-18b2-45c3-add7-2379a7353edd,1982-07-24,,999-20-3608,S99977071,X3121808X,Ms.,Annalisa973,Marquardt819,,,S,white,german,F,Grand Island,364 Bechtelar Dale Suite 38,Laurel Hollow,New York,11771
60cb28c3-363d-4d6e-b863-3e3b80cd62f3,1973-11-14,,999-41-1074,S99912287,X51304242X,Mr.,Dana512,Greenholt190,,,M,asian,chinese,M,Jamestown,481 Feeney Knoll,East Fishkill,New York,
3876e302-46ab-40d7-ba00-adf548301115,1998-05-14,,999-80-8100,S99978402,X58115573X,Ms.,Kaitlyn96,Heidenreich818,,,,white,english,F,Oakfield,954 Smitham Mill,New Lisbon,New York,
0772f0fd-f4e6-4309-96d9-7bc1223c9b7e,1969-04-21,,999-95-7860,S99940431,X46313286X,Mr.,Corey514,Mayer370,,,M,white,italian,M,New York,492 O'Kon Light Unit 50,Albany,New York,12202
5914a70e-ea93-453e-b525-c0e16823e41c,1994-01-06,,999-25-9834,S99925877,X37359255X,Mr.,Lynwood354,Kertzmann286,,,,white,portuguese,M,Brockport,168 Christiansen Mission,Irvington,New York,10503
b2ee0cb2-c265-4036-bce8-9e1c512ee59d,1949-10-02,,999-94-3704,S99994617,X812812X,Mrs.,Raelene218,Jacobs452,,Connelly992,M,white,italian,F,Yonkers,1035 Watsica Manor Suite 80,Canandaigua,New York,14424
b2df201a-617c-4e7f-89b4-e697196119e9,1969-02-06,,999-49-1949,S99922579,X36024343X,Mr.,Alfredo17,Rippin620,,,S,white,german,M,Monroe,553 Miller Parade,New York,New York,10001
2f4c5f33-bbb7-43d4-87cc-0006b1d3096c,1947-11-27,,999-61-6925,S99954870,X33047708X,Mrs.,Kazuko67,Koepp521,,Bergstrom287,M,white,irish,F,Yonkers,138 Tillman Annex Apt 71,Yonkers,New York,10583
b54a9e87-5759-4835-a3a3-fa5de2dcbca7,1977-12-02,,999-73-3903,S99911157,X63235929X,Mr.,Winford225,Hoeger474,,,M,white,irish,M,Poquott,1061 Adams Skyway Suite 94,Norwood,New York,13668
befcea4d-529e-422c-9f92-3850b2423cc2,1971-05-24,,999-22-1922,S99998754,X70128930X,Mrs.,Ivonne773,Heathcote539,,Miller503,M,white,irish,F,Mineola,778 Armstrong Gardens,Carroll,New York,
f043bd3e-3758-4585-9552-209734fcafc3,1980-07-13,,999-16-4736,S99986059,X70541613X,Mr.,Luis923,Schneider199,,,M,white,italian,M,Wilton,983 Gleichner Trace Unit 61,New York,New York,10001
8a880867-dc76-4660-a3c2-13836439dfb0,1980-02-08,,999-14-1211,S99964973,X80368907X,Mr.,Sal878,Gusikowski974,,,M,white,german,M,Croton-on-Hudson,743 Herzog Tunnel,Clarence,New York,14031
777467db-72a3-4544-bdd8-b406d8294e46,1957-06-24,,999-92-4720,S99937441,X77583162X,Mrs.,Cayla360,Abernathy524,,Leuschke194,M,white,irish,F,Newark,472 Ankunding Gardens Suite 31,Albany,New York,12202
46c141e5-a879-43b5-9ca4-335f48585cec,1967-06-09,,999-99-6017,S99926858,X63214727X,Mr.,Ernesto186,Galarza986,,,M,black,dominican,M,Henrietta,325 Grimes Spur,Huntington Bay,New York,11743
05030556-2891-4c0d-b9ea-10db97f96f37,2004-06-08,,999-27-6138,,,,Gwenda518,Wiza601,,,,hispanic,south_american,F,Dryden,388 Anderson Harbor,Mount Vernon,New York,10550
a3796d09-e02d-46c4-b33c-a67ea551b09a,2002-01-18,,999-39-9751,S99972897,,,Augustus49,Marquardt819,,,,white,english,M,Middletown,537 Leannon Dale Unit 41,Buffalo,New York,14201
ea96c14b-bc9e-4899-b394-5876c611e212,1972-08-14,,999-46-7309,S99924191,X65770090X,Ms.,Dannette613,Christiansen251,,,S,hispanic,puerto_rican,F,Ogdensburg,995 Rohan Gateway,New York,New York,10001
fc0e4a76-19da-413a-97cc-6cfd4a392d82,1964-06-28,2018-07-25,999-53-8349,S99938810,X68547722X,Mr.,Benton624,Schulist381,,,M,white,english,M,Yonkers,984 Klocko Tunnel Unit 32,New Castle,New York,
67065080-7996-432c-86b9-c3a52bd68a07,2013-05-10,,999-26-6464,,,,Kristopher775,Breitenberg711,,,,white,irish,M,Buffalo,957 Kertzmann Club Suite 72,Chemung,New York,14825
818e646a-84a8-41a4-bf98-4349a2bb87fa,1978-05-01,,999-43-7495,S99982846,X51595445X,Mrs.,Penney623,Wisoky380,,O'Keefe54,M,black,dominican,F,Buffalo,428 Hilpert Passage Suite 51,North Tonawanda,New York,14120
41403f74-2b26-4598-b447-ef2a666b4705,1977-01-29,,999-13-8599,S99935933,X54817383X,Mr.,Darell496,Tromp100,,,M,white,german,M,Clifton Park,1030 Frami Viaduct Unit 6,Poughkeepsie,New York,12601
85f956bc-e50f-4a04-a867-379fb7250a09,1967-03-14,2012-05-22,999-60-9075,S99959866,X63322650X,Mr.,Jaime666,Posada6,,,M,black,dominican,M,Olive,796 Haley Esplanade,Penfield,New York,14526
ddca56c6-5504-48ad-9a0e-d95a6a66d9b5,1995-11-01,,999-75-7176,S99920889,X64688487X,Mr.,Rafael239,Gastélum330,,,,black,west_indian,M,White Plains,1042 Ondricka Approach,Enfield,New York,
f71eabcf-0a3c-4516-8e16-c2be2271015c,1991-10-25,,999-85-5400,S99950785,X79704292X,Mrs.,Avril120,Rowe323,,Carter549,M,white,italian,F,Yorkville,1056 Shields Esplanade Apt 12,Niagara Falls,New York,14301
ea65870f-5527-49ec-9bda-39d705ac8235,1945-11-05,,999-71-2222,S99919253,X8107189X,Mrs.,Bari62,Windler79,,Schamberger479,M,white,french,F,Newburgh,1008 Murphy Alley,Glens Falls,New York,12801
b1b2c780-8e0a-440a-986a-41a5fb62a9df,2001-07-23,,999-84-1625,S99951388,,,Alvin56,Weber641,,,,white,irish,M,Gates,994 Rutherford Avenue Apt 97,Schuyler,New York,
b7aa1aba-1e51-4a5a-98d3-e41d70f5150c,1964-06-28,2011-01-29,999-38-1867,S99972198,X84034796X,Mr.,Ruben688,Russel238,,,M,white,english,M,New Castle,367 Mills Underpass Apt 30,New Castle,New York,
eff39b3e-6fe3-4cfe-bf78-1ad31d0a9829,1957-04-15,,999-16-4557,S99913026,X45578182X,Mrs.,Kimberli643,Dicki44,,Brown30,M,black,west_indian,F,Lee,455 Witting Ville Unit 73,Buffalo,New York,14201
93a6b1c2-4714-44ae-88cd-5a40aa6cf3cd,1961-12-25,,999-35-7015,S99967788,X9470823X,Mrs.,Sook872,Luettgen772,,Braun514,M,white,polish,F,New Haven,588 Frami Loaf Unit 12,Mechanicville,New York,12118
a1836aa1-0f7a-4256-bc14-956cfe426144,1967-03-14,,999-85-3347,S99961645,X21438277X,Mr.,Martín25,Menéndez746,,,M,black,dominican,M,Fayetteville,1095 Howe Passage,Penfield,New York,14526
3aa9fd14-a905-44c5-9481-452351301570,1957-12-19,,999-42-9219,S99973275,X63025186X,Mr.,Landon622,Balistreri607,,,M,white,irish,M,Buffalo,778 Gerlach Park,Maryland,New York,12116
b23723a5-cbf3-48d4-8436-64513928d493,1948-07-30,,999-28-4733,S99968393,X40656729X,Mr.,Willard975,Strosin214,,,M,white,english,M,Port Chester,494 VonRueden Quay Unit 60,Dresden,New York,14441
b340b5e6-cd82-41cd-9149-d1f14367d52e,1978-07-05,,999-71-9613,S99966362,X18126515X,Mr.,Mathew182,McGlynn426,,,M,white,polish,M,Mohawk,677 Hamill Mews,Chestnut Ridge,New York,10952
d4b9592c-17fa-4a51-add9-712c5a13647e,1982-02-25,,999-65-9704,S99995344,X19678402X,Mrs.,Loriann967,Johnson679,,Crist667,M,white,german,F,Conesus,207 Krajcik Route,Buffalo,New York,14201
48785416-46a3-42a9-b5b8-342b74361c7a,1954-02-11,1955-03-08,999-71-4015,,,,Leandro563,Hane680,,,,white,irish,M,Long Beach,121 Roob Frontage road Apt 9,Great Neck,New York,11021
ec4b2a54-9aed-4f72-8e7d-d79340726ea7,1964-06-28,,999-68-5455,S99977333,X7794904X,Mr.,Kendall673,Rau926,,,M,white,english,M,New York,343 Lesch Heights,New Castle,New York,
1b605942-0cab-43a8-b9b6-fbbaaf10548b,1991-02-20,,999-84-8530,S99948248,X51190262X,Mrs.,Argentina169,Witting912,,Cummings51,M,black,african,F,Stafford,1015 Kunde Wynd,White Plains,New York,10601
afd9905c-fb00-4845-9880-1704ee34f781,1970-09-15,,999-67-9182,S99928438,X77894312X,Mrs.,Muoi890,Bauch723,,Larkin917,M,white,italian,F,Rochester,472 Okuneva Spur Suite 15,Rouses Point,New York,12979
01f3ced6-b109-44ce-a29a-aaa470c35cca,1987-07-18,,999-63-1503,S99957188,X57405113X,Mrs.,Cathern761,Borer986,,Fay398,M,white,irish,F,Catskill,401 Schmitt Rest Suite 5,Cortland,New York,13045
ea30fd8a-d55b-469e-bb02-eaa3306471bd,1988-12-18,,999-38-3412,S99933169,X583642X,Ms.,Illa976,Corwin846,,,S,white,english,F,New York,752 Wehner Flat,Long Beach,New York,11561
fa98b8e0-00a8-47c8-a0ef-ae1c4c90c9f7,2006-04-30,,999-37-9309,,,,Clyde817,Douglas31,,,,white,english,M,Valley Stream,340 Zboncak Burg Apt 17,Troy,New York,12180
3c37dd7c-77f3-4ea5-9ded-306ba872f1c5,2012-09-04,,999-22-1332,,,,Wava789,Morissette863,,,,white,italian,F,Yonkers,790 Lindgren Approach,Farmersville,New York,
c8a74309-8b2c-4faf-877f-ae2a92a228cc,1952-09-30,2010-10-06,999-71-8783,S99965565,X9812480X,Ms.,Jocelyn538,Marquardt819,,,S,hispanic,mexican,F,Yorktown,683 Barton Brook,East Greenbush,New York,12061
c7536a7b-7ac3-473d-8a45-89b9276a449e,2003-11-30,,999-17-5739,,,,Monty345,Quitzon246,,,,white,portuguese,M,Yonkers,210 DuBuque Bypass,Utica,New York,13413
a86a1645-803e-4f78-99de-2a5ba9e8d29b,1962-07-03,,999-99-3742,S99916366,X33059111X,Mr.,Cory323,Kuhic920,,,M,white,english,M,Amsterdam,904 Mayert Park Suite 6,Palatine Bridge,New York,13317
75fb27a1-ff1d-4ffa-a242-696671bfc4f1,1998-02-19,,999-40-4672,S99993065,X54602745X,Mr.,Juan88,Barraza113,,,,black,dominican,M,Riverhead,521 Swaniawski Wall,Buffalo,New York,14201
3b9ec6db-c54b-4bff-b475-76f9c2fc182a,1941-07-22,,999-62-7394,S99967886,X25748774X,Mrs.,Cira533,Orn563,,Rippin620,M,white,polish,F,White Plains,359 Bashirian Port,Harrison,New York,10528
f4d71aeb-1528-4747-adf2-e8d6cd81b29c,1954-02-11,,999-15-9297,S99925993,X80792389X,Mr.,Brendon298,Morar593,,,M,white,irish,M,Penfield,694 Rohan Alley,Great Neck,New York,11021
b02195e1-f64b-4e42-8ebc-b9da327e6beb,1953-02-17,,999-53-4631,S99952689,X74654067X,Mr.,Lonnie913,Gibson10,,,M,white,scottish,M,Northport,184 Simonis Camp Apt 50,Yonkers,New York,10583
e45efb4c-78c5-4cdf-bd2b-841c3e1d2c95,1998-09-24,,999-55-2561,S99919154,X24539115X,Ms.,Kimberlie352,Lubowitz58,,,,white,scottish,F,Ellenville,187 Eichmann Plaza Suite 90,New York,New York,10001
c72a2414-0813-49eb-971c-15df341d85c9,1975-07-28,,999-97-6962,S99970312,X87640627X,Mr.,Dante562,Herman763,,,M,black,african,M,Lewisboro,302 McClure Forge,Buffalo,New York,14201
1e61d99f-a518-4bb2-9b77-71b580495129,1952-09-30,,999-57-6944,S99960597,X51911855X,Mrs.,Sadye922,Kihn564,,Reilly981,M,hispanic,mexican,F,New York,116 Pfeffer Walk Unit 90,East Greenbush,New York,12061
01bdea35-ca07-41d7-8698-8a4d7040ba09,1965-04-25,,999-61-3811,S99992464,X6518313X,Mrs.,Zella14,Roob72,,Schamberger479,M,white,irish,F,Yonkers,233 Turner Track,Adams,New York,13605
5b21ac76-c6d3-442d-a307-b21de2d56be0,1938-10-02,,999-49-5186,S99959310,X44329883X,Mr.,Wesley533,Ullrich385,,,S,white,english,M,Mechanicville,933 Huel Frontage road Suite 70,Westbury,New York,11590
