ID,ORGANIZATION,NAME,GENDER,SPECIALITY,ADDRESS,CITY,STATE,ZIP,UTILIZATION
b6a71340-d76b-4d5c-86d2-c6e545ca8e6b,6709036e-5c16-4eb8-9002-157ab1e5f51f,Lemuel304 Ratke343,M,GENERAL PRACTICE,600 NORTHERN BOULEVARD,ALBANY,NY,12204,7442,
880f4ed7-5ac3-4d6c-92f2-03e9311085e3,475a90c9-be73-4dba-b816-cc868d139e5b,Kurtis994 Considine820,M,GENERAL PRACTICE,396 BROADWAY,KINGSTON,NY,12401,5179,
78080ac4-e2b7-4137-9578-2ee24058d579,e9e1f9e9-196b-4cdf-bd05-0590cd0319aa,Nicolas769 Kuhn96,M,GENERAL PRACTICE,726 EXCHANGE STREET  SUITE 522,BUFFALO,NY,14210,16464,
83ed822e-e07f-4840-b1e6-831abd9febe5,d448f48b-0430-4561-8ba5-6ca1c9145eb5,Jose871 Greenfelder433,M,GENERAL PRACTICE,127 SOUTH BROADWAY,YONKERS,NY,10701,9836,
0e726f03-9221-4355-8c14-e8857cb4c484,772bfb10-4364-484d-b885-a2dea78c7ea4,Lewis216 Mraz590,M,GENERAL PRACTICE,400 NORTH MAIN STREET,WARSAW,NY,14569,739,
d875b271-87a5-46d0-941e-e4afa43d24ce,b2ec7823-a44f-4a7c-a3bc-c629c3847dc8,Jarred626 Williamson769,M,GENERAL PRACTICE,169 RIVERSIDE DRIVE,BINGHAMTON,NY,13905,2044,
56fd1250-00eb-4e20-a3ae-e3a6fe5e4180,0ecaf251-e3c8-48b5-afe0-665c3dc87631,Yulanda554 Kassulke119,F,GENERAL PRACTICE,89TH AVENUE AND VAN WYCK EXPRESSWAY,JAMAICA,NY,11418,21251,
ec606ad8-83d4-4e3e-b2e1-8747d5952fbf,ead3dbb5-a39b-4f00-a028-81756a990ac6,Latoria810 Pfeffer420,F,GENERAL PRACTICE,45 READE PLACE,POUGHKEEPSIE,NY,12601,5626,
f2f220bf-fe3a-402f-9893-8cba02af1d7a,0544d5d3-5286-4e16-954e-bb0a7ec8bef7,Mira443 Hills818,F,GENERAL PRACTICE,2201 HEMPSTEAD TURNPIKE,EAST MEADOW,NY,11554,384,
e1264989-5d5f-41f2-864b-44623ddde9cc,84d8bc45-6c2c-4ec3-b23d-f5cdbdfedc8e,Junior695 Bahringer146,M,GENERAL PRACTICE,111 DRIVING PARK AVENUE,NEWARK,NY,14513,1813,
2166ad31-a17e-41e5-bd71-696bbd5b7e5b,8bbd772d-20fd-4021-ab1f-bcd2ff1db510,Ollie731 Lehner980,M,GENERAL PRACTICE,179 NORTH BROAD STREET,NORWICH,NY,13815,255,
3cf1c273-7138-4fe3-a20d-8e34370211b9,d45a48fd-ffcb-4ef1-a049-f89b20f4f716,Demetria799 Littel644,F,GENERAL PRACTICE,1656 CHAMPLIN AVENUE,UTICA,NY,13503,2515,
1cc8756f-55f4-4cd3-b701-291bdfb46e00,d7a34995-cc87-423f-b2c5-4d8bbbc5230a,Raúl937 Delapaz125,M,GENERAL PRACTICE,270 PARK AVENUE,HUNTINGTON,NY,11743,585,
df3fa8e8-1e9f-4ec1-87ea-643dca795f09,263d940a-4ed8-4371-8a16-d98101d0ac92,Antwan357 Buckridge80,M,GENERAL PRACTICE,427 GUY PARK AVENUE,AMSTERDAM,NY,12010,1284,
9d53fe0a-429f-45fc-a75f-c3162944879a,5d6f2ba3-8838-46bd-88ef-4b2bbd0bde99,Alec433 Gibson10,M,GENERAL PRACTICE,6511 SPRINGBROOK AVENUE,RHINEBECK,NY,12572,652,
10e279cc-7a83-4a9d-9bf2-5e4602d200b8,63c9c7b7-b191-4d69-b0f9-a344f9858864,Gloria696 Macías944,F,GENERAL PRACTICE,196 -198 NORTH STREET,GENEVA,NY,14456,141,
3c0f307e-a6fc-40ae-bf2e-9d1eb0beb4a4,978845c1-ae85-478e-a52f-8229c676cda4,Kellie778 Aufderhar910,F,GENERAL PRACTICE,111 EAST 210TH STREET,BRONX,NY,10467,1419,
0c0ec8f4-3310-4924-8c3d-bd3316ea0399,4086a157-11e4-4d5e-b7a7-0da21aac9aac,Chasidy481 Berge125,F,GENERAL PRACTICE,621 TENTH STREET,NIAGARA FALLS,NY,14302,2239,
facf87e8-102d-4019-a553-d3913d295729,6548e4ab-d2af-4948-8f4b-0f372a139b2d,Lupe126 O'Hara248,M,GENERAL PRACTICE,127 NORTH STREET,BATAVIA,NY,14020,838,
c00e5ab4-9d06-4cd3-9e1b-800219a38859,89cad572-81e2-4c02-b63c-c9dc3acf5f35,Vernon254 Schmitt836,M,GENERAL PRACTICE,350 PARRISH STREET,CANANDAIGUA,NY,14424,1805,
a21e800b-fe91-43f4-b205-f54bce1bf504,aa4a2e08-e2fb-4774-b17d-50e48e6da496,Armida530 Bahringer146,F,GENERAL PRACTICE,2157 MAIN STREET,BUFFALO,NY,14214,940,
85cefc9c-686a-431d-9bb5-2df3968f5257,02984981-3fd7-4804-a74e-a5c40efe0c28,Danica886 Fahey393,F,GENERAL PRACTICE,2233 STATE ROUTE 86,SARANAC LAKE,NY,12983,2042,
fa9492d2-8f9f-4741-8a71-a4d537e64c82,d3430fe5-9bcb-47d3-a278-7bd50e8fcfea,Niesha86 Hettinger594,F,GENERAL PRACTICE,133 PARK STREET,MALONE,NY,12953,494,
f43fab7c-485e-4c95-bc53-327709765da8,6f2e11d2-06b0-45db-b093-f180402af1b8,Lorenzo669 Mejía318,M,GENERAL PRACTICE,ONE NORTON AVENUE,ONEONTA,NY,13820,246,
93f81f6c-3e25-4a1e-bfe8-5efac280531e,2a6a6d6d-4e51-4c3f-adde-e47657a1f4b9,Merlin721 Becker968,M,GENERAL PRACTICE,12 NORTH 7TH AVENUE,MOUNT VERNON,NY,10550,3118,
d28d079d-d841-4908-a54d-8e204f7c3307,ed3dc75e-a829-499b-8eef-061dc341ea2b,Andrea7 Davis923,F,GENERAL PRACTICE,201 MANOR PLACE,GREENPORT,NY,11944,2511,
dcb88abe-e6f6-4dd2-ba5a-b3f6229f1f3b,b12c4c09-8b23-4785-a489-8605cbefa14c,Catalina187 Tello902,F,GENERAL PRACTICE,600 ROE AVENUE,ELMIRA,NY,14905,4322,
b711c8da-bad7-47de-9607-09b7ce120e80,55387e9f-c168-4e77-9861-c27034ce3220,Gertrudis163 Waelchi213,F,GENERAL PRACTICE,71 PROSPECT AVENUE,HUDSON,NY,12534,449,
c45c71c8-3f6b-45b6-91d8-b3ce5c2e8b45,c5850719-0fc6-4726-98f4-d53bb0ab2443,Rachal9 Mills423,F,GENERAL PRACTICE,191 NORTH MAIN STREET,WELLSVILLE,NY,14895,662,
242522c1-f6ae-4ee5-b241-a5bf96377fcf,cb5e7b74-759e-44dc-961d-dd6037f5847d,Clifton91 Kassulke119,M,GENERAL PRACTICE,2950 ELMWOOD AVENUE,KENMORE,NY,14217,2855,
1b9a5774-e7b1-4081-a128-72b543cd32b6,9fd65dd9-cceb-4cb8-ac09-cd4654123088,Louann705 Runolfsdottir785,F,GENERAL PRACTICE,515 MAIN STREET,OLEAN,NY,14760,615,
1c6a67b0-18b8-4c12-923a-37f6b9588d67,4d8114cf-ffb5-49ff-a309-64bd8f212a75,Luetta803 Orn563,F,GENERAL PRACTICE,160 NORTH MIDLAND AVENUE,NYACK,NY,10960,720,
dea37f68-984e-4102-a6f3-9dafc57e12a2,9fc77120-2670-4514-8c70-d887c21bba62,Edwardo860 Denesik803,M,GENERAL PRACTICE,300 COMMUNITY DRIVE,MANHASSET,NY,11030,3396,
030b26b2-bbf0-4d46-9677-9579b6d6f4e1,a38ce145-90c7-4df1-9a91-88394e15e27a,Noriko180 Reichel38,F,GENERAL PRACTICE,1300 ROANOKE AVENUE,RIVERHEAD,NY,11901,3403,
528a2475-44c5-4d76-9b33-6f694040287a,4f758e05-3e21-4730-87c4-fbe5513f0da7,Margarett339 Wilderman619,F,GENERAL PRACTICE,224 EAST MAIN STREET,SPRINGVILLE,NY,14141,1979,
d1babc4f-3c1c-4dbf-bbf5-78342bd39ea1,1c612637-cd4c-48cf-b0a9-3cd7eb42815e,Ellsworth48 Cummings51,M,GENERAL PRACTICE,321 GENESEE STREET,ONEIDA,NY,13421,2197,
1e6aa052-88fd-4af6-b737-dde46ac60dfe,89f65d61-7466-47ac-be5e-554bd82ff5e2,Mitsuko474 Jacobson885,F,GENERAL PRACTICE,1425 PORTLAND AVENUE,ROCHESTER,NY,14621,16805,
a53b0d8a-74f0-414f-9c0c-7f983cbea503,fd02e0dc-a921-4a98-beda-19a646fc3c4f,Earlean804 Hoeger474,F,GENERAL PRACTICE,707 EAST MAIN STREET,MIDDLETOWN,NY,10940,512,
fa54f7c1-ecd1-453e-9a7f-b75833909beb,df7dba32-34e1-4d07-a4ab-4d699fdb17a4,Paul232 Jacobson885,M,GENERAL PRACTICE,845 ROUTES 5 AND 20,IRVING,NY,14081,2457,
0cee59dd-59cd-4303-ad57-498702221d68,0a7e9e91-d69a-4695-bda7-6f68842d784f,Jarvis643 Toy286,M,GENERAL PRACTICE,160 EAST MAIN STREET,PORT JERVIS,NY,12771,1226,
529a8173-bedd-4e5c-aaa5-661e2501d4d0,776ad621-699e-45ef-920c-e89f742acc32,Williams176 Stiedemann542,M,GENERAL PRACTICE,ONE ATWELL ROAD,COOPERSTOWN,NY,13326,666,
fcfac692-c9ce-430b-a2b3-e419bc2a0c8b,844faa35-c227-4096-88f6-81e65b19758a,Carla633 Jaimes535,F,GENERAL PRACTICE,301 PROSPECT AVENUE,SYRACUSE,NY,13203,15373,
0e432c27-7261-4a5f-b6d7-bdd83e21d2b2,4a2430ae-48a2-4ba3-b963-1b7fe996deab,Edmond919 Schaefer657,M,GENERAL PRACTICE,101 HOSPITAL ROAD,PATCHOGUE,NY,11772,769,
1a337890-f404-4844-a1e1-b6f16b78b902,d4bdcfe7-87ca-4796-b1ac-9696c944925d,Charlie254 Brown30,M,GENERAL PRACTICE,7571 STATE ROUTE 54,BATH,NY,14810,402,
91ef3840-1257-448b-8d54-78f4edf8b5aa,8d01df81-7c96-48a0-a601-415ce76493a5,Blake449 Schiller186,F,GENERAL PRACTICE,411 CANISTEO STREET,HORNELL,NY,14843,346,
75129418-e839-4b54-81ad-83f98dd45167,51747305-b858-4a42-bbb7-bf58f202606a,Audrey678 Streich926,F,GENERAL PRACTICE,1101 NOTT STREET,SCHENECTADY,NY,12308,5264,
af1beea5-ba62-4045-8f55-dd8426f9aa07,0feef2b0-3e36-4fb2-8eea-a8f9d8c6bfcd,Ryan260 Ebert178,F,GENERAL PRACTICE,830 WASHINGTON STREET,WATERTOWN,NY,13601,1361,
